# 已下架 PDF (123本)

1. [西方] 从《理想国》到《正义论  id=0ae43e157129
2. [西方] 理想国 — 柏拉图  id=3833fbec9dac
3. [西方] 伦理学 — 巴鲁赫·斯宾诺莎  id=32fb0956b9b1
4. [西方] 尼各马可伦理学 — 亚里士多德  id=e574c8e7f515
5. [西方] 形而上学 — 亚里士多德  id=f11f1b13c278
6. [西方] 康德三大批判合集（上下） — 伊曼努尔·康德  id=10e1874c2255
7. [西方] 纯粹理性批判 — 伊曼努尔·康德  id=8c0c6955c793
8. [西方] 柏拉图对话集 — 柏拉图  id=35279e2e439d
9. [西方] 政府论 — 约翰·洛克  id=e3a52553c303
10. [西方] 社会契约论 — 让-雅克·卢梭  id=fa175af7701a
11. [西方] 普通语言学教程 — 费尔迪南·德·索绪尔  id=93e725e1247d
12. [西方] 哲学研究 — 路德维希·维特根斯坦  id=08e055841182
13. [西方] 逻辑哲学论 — 路德维希·维特根斯坦  id=10bb2cccba8d
14. [西方] 政治学 — 亚里士多德  id=53b09f03e24e
15. [西方] 精神现象学 — 格奥尔格·威廉·弗里德里希·黑格尔  id=053203b03b6c
16. [西方] 君主论 — 马基雅维利  id=2e66606c2854
17. [西方] 德意志意识形态 — 卡尔·马克思 / 弗里德里希·恩格斯  id=ae97dec227b6
18. [西方] 判断力批判 — 伊曼努尔·康德  id=f08c1ead3164
19. [西方] 纯粹现象学通论 — 埃德蒙德·胡塞尔  id=a3e1832a509d
20. [西方] 最伟大的思想家 - 尼采 — 弗里德里希·尼采  id=00fadd7de47c
21. [西方] 共产党宣言 — 卡尔·马克思 / 弗里德里希·恩格斯  id=420f076ba733
22. [西方] 存在与虚无 — 让-保罗·萨特  id=74dab3786ca7
23. [西方] 命名与必然性 — 索尔·克里普克  id=6b68595de71f
24. [西方] 极权主义的起源 — 汉娜·阿伦特  id=1f3fb406c95c
25. [西方] 快乐的科学 — 弗里德里希·尼采  id=48f7bf321598
26. [西方] 历史与阶级意识 — 格奥尔格·卢卡奇  id=5bdec4dbde50
27. [西方] 人性论（全4册） — 大卫·休谟  id=178e7d06d42d
28. [西方] 性经验史 — 米歇尔·福柯  id=8eb18c6de2bc
29. [西方] 思想录 — 布莱兹·帕斯卡尔  id=9dc98919ade8
30. [西方] 悲剧的诞生 — 弗里德里希·尼采  id=29b3de571c12
31. [西方] 交往行为理论 — 尤尔根·哈贝马斯  id=87bfe5b27ca1
32. [西方] 赫拉克利特著作残篇 — 赫拉克利特  id=a7e51ceb11e5
33. [西方] 恐惧与战栗 — 索伦·克尔凯郭尔  id=f1e06cece874
34. [西方] 皮尔斯文选 — 查尔斯·桑德斯·皮尔士  id=8b1e1c5ebaac
35. [西方] 新工具 — 弗朗西斯·培根  id=7bb94a203c8c
36. [西方] 德性之后 — 阿拉斯戴尔·麦金泰尔  id=2131abc93fdc
37. [西方] 上帝之城 — 奥古斯丁  id=bcc83fdfca5e
38. [西方] 现象学的观念 — 埃德蒙德·胡塞尔  id=e2a4c4f78c40
39. [西方] 神学大全　第一集　第6卷 — 托马斯·阿奎那  id=f52ed83b99d9
40. [西方] 先验唯心论体系 — 谢林  id=723840d7af64
41. [西方] 原型与集体无意识 — 卡尔·古斯塔夫·荣格  id=5dcede8a79a6
42. [西方] 机械复制时代的艺术作品 — 瓦尔特·本雅明  id=71f2b160cfc7
43. [西方] 神学大全　第一集　第7卷 — 托马斯·阿奎那  id=9ed36aca09c5
44. [西方] MEGA：陶伯特版《德意志意识形态·费尔巴哈》 — 卡尔·马克思 / 弗里德里希·恩格斯  id=1085686cbd33
45. [西方] 道德与立法原理导论 — 杰里米·边沁  id=74ee21ced920
46. [西方] 反对方法 — 保罗·费耶阿本德  id=744757b853eb
47. [西方] 哲学和自然之镜 — 理查德·罗蒂  id=ad8775173020
48. [西方] 过程与实在 — 阿尔弗雷德·诺思·怀特海  id=08bc692fb974
49. [西方] 全部知识学的基础 — 费希特  id=5d4fa02c0903
50. [西方] 罪与罚 — 费奥多尔·陀思妥耶夫斯基  id=aa614e2cf92d
51. [西方] 擬仿物與擬像 — 让·鲍德里亚  id=cc9d0d9358a7
52. [西方] 最伟大的思想家 - 奥古斯丁 — 奥古斯丁  id=215af36cac9f
53. [西方] 作为意欲和表象的世界（第2卷） — 阿图尔·叔本华  id=e2845fe17764
54. [西方] 自然宗教对话录 — 大卫·休谟  id=9c9e77918c07
55. [西方] 奥古斯丁忏悔录 — 奥古斯丁  id=a2931a891bf9
56. [西方] 语词和对象 — 威拉德·范·奥曼·蒯因  id=e9b084a9320b
57. [西方] 否定的辩证法 — 西奥多·阿多诺  id=d3bebffb6a05
58. [西方] 康德《实践理性批判》句读 — 伊曼努尔·康德  id=aacc867ec43c
