keep,title,author,region,filename
Y,哲学·科学·常识,陈嘉映,E,哲学·科学·常识
Y,理想国,柏拉图,W,理想国
N,苏菲的世界 (贾德名作系列),贾德著,,Su Fei De Shi Jie  (Jia De Ming - (Nuo )Jia De Zhu ;Xiao Bao Sen
Y,庄子今注今译,陈鼓应,E,庄子今注今译
Y,西方哲学史讲演录,赵林,W,01《西方哲学史讲演录》
Y,自由及其背叛：人类自由的六个敌人,以赛亚·伯林,W,自由及其背叛：人类自由的六个敌人 (人文与社会译丛)
Y,哲学导论：综合原典阅读教程,罗伯特·所罗门,W,《哲学导论》---罗伯特·C·所罗门
Y,康德著作集,伊曼努尔·康德,W,康德著作集（套装10册）（汉译世界学术名著丛书） - 康德
Y,西方哲学史,撒穆尔·伊诺克·斯通普夫/詹姆斯·菲泽,W,西方哲学史（第9版）
Y,人生的智慧：如何才能幸福度过一生,阿图尔·叔本华,W,人生的智慧：如何才能幸福度过一生
Y,王阳明全集,王阳明,E,王阳明全集：简体注释版 - 王阳明
Y,哲学的故事,威尔·杜兰特,W,哲学的故事
Y,存在与虚无,让-保罗·萨特,W,存在与虚无
Y,逻辑哲学论,维特根斯坦,W,逻辑哲学论-维特根斯坦
Y,寻觅意义,王德峰,E,《寻觅意义》王德峰教授 2022 新书
N,尼采经典著作及研究丛书（四册全）,尼采,W,尼采经典著作及研究丛书（四册全） - 尼采 & 孙周兴
Y,走出唯一真理观,陈嘉映,E,走出唯一真理观
Y,有限与无限的游戏：一个哲学家眼中的竞技世界,詹姆斯·卡斯,W,有限与无限的游戏：一个哲学家眼中的竞技世界
Y,谈谈方法,勒内·笛卡尔,W,谈谈方法
Y,当尼采哭泣,欧文·亚隆,W,当尼采哭泣(欧文隆)
Y,悉达多,赫尔曼•黑塞,W,悉达多 -赫尔曼·黑塞
Y,维特根斯坦传,瑞·蒙克,W,维特根斯坦传：天才之为责任
Y,维特根斯坦文集,路德维希·维特根斯坦,W,《维特根斯坦文集（套装全8卷）》
Y,存在主义咖啡馆——自由、存在和杏子鸡尾酒,莎拉·贝克韦尔,W,《存在主义咖啡馆》---莎拉·贝克韦尔
Y,认识世界：古代与中世纪哲学,理查德·大卫·普莱希特,W,认识世界：古代与中世纪哲学
N,沉思录,【古罗马】马可·奥勒留,,沉思录
Y,在绝望之巅,E·M·齐奥朗,W,在绝望之巅（“二十世纪的尼采”、现代欧洲伟大的哲学家_E.M.齐奥朗代表作！将眼泪变成思想，发出反叛的野蛮呐喊）
Y,哲学的慰藉,阿兰·德波顿,W,哲学的慰藉
Y,他者的消失,韩炳哲,W,他者的消失
Y,《存在与时间》释义,张汝伦,W,《存在与时间》释义
Y,哲学，为人生烦恼找答案,黄珍奎,W,《哲学，为人生烦恼找答案》---黄珍奎
Y,大问题: 简明哲学导论,罗伯特•所罗门,W,大问题
Y,哲学家们都干了些什么?,林欣浩,W,哲学家们都干了些什么
Y,像哲学家一样生活:斯多葛哲学的生活艺术,威廉·B. 欧文,W,09《像哲学家一样生活》斯多葛哲学的生活艺术
Y,爱欲之死,韩炳哲,W,爱欲之死
Y,现象学导论七讲:从原著阐发原意,张祥龙,E,现象学导论七讲：从原著阐发原意
Y,打开：周濂的100堂西方哲学课,周濂,W,打开：周濂的100堂西方哲学课
Y,幸福的底层逻辑：关于人生的7堂哲学课,刘小播,E,幸福的底层逻辑：关于人生的7堂哲学课
Y,活出生命的意义,维克多·弗兰克尔,W,活出生命的意义
Y,西方哲学二十一讲,弗兰克·梯利,W,西方哲学二十一讲
Y,50堂经典哲学思维课,郁喆隽,E,Tang Jing Dian Zhe Xue Si Wei - Yu Zhe Jun
Y,生活的哲学,朱尔斯·埃文斯,W,生活的哲学
Y,生命的意义,威尔·杜兰特,W,生命的意义威尔.杜兰特
Y,看，这是哲学,唐纳德·帕尔默,W,看，这是哲学
Y,纯粹理性批判,伊曼努尔·康德,W,纯粹理性批判(注释本)
Y,写给每个人的哲学书：雅斯贝尔斯的14堂哲学思维课,卡尔·雅斯贝尔斯,W,03《写给每个人的哲学书》
Y,一堂终身哲学课：回答一生必然遇到的20个人生难题,莫提默·J·艾德勒,W,一堂终身哲学课：回答一生必然遇到的20个人生难题
Y,哲学的二十个夜晚,徐英瑾,E,03《哲学的二十个夜晚》
Y,哲学与人生,傅佩荣,E,哲学与人生 (1)
