[6] '第一章 （A)' 段126 字21402 | '第一章980°21*所有人在本性上都愿求知。其标志就是我们对感觉的爱好；因为除了它们的用处之外，它们本身就被喜' | 页码['980°'] | 内标题['第一章', '第二章', '第三章', '第三章', '第三章', '第四章', '第六章', '第六章', '第七章', '第七章', '第八章', '第八章', '第九章', '第九章']
[7] '第一章 （A）' 段17 字1815 | '第九章是空谈，因为，如我们在前面说过的，①“分有”意味着什么都不是。' | 页码[] | 内标题['第十章']
[8] '第二章 (a)' 段22 字3206 | '*关于真理的探索，在一种意义上是困难的，在另一种意义上又是993°容易的。表现这一点的事实是：没有一个人能够做' | 页码['993°'] | 内标题['第一章', '第二章']
[9] '第三章 （B）' 段62 字14227 | '995°24*对于我们探索的科学，我们必须*首先列举最先应当加以讨论的25问题。它包括某些人关于第一原理的其他' | 页码['995°'] | 内标题['第一章', '第三章']
[10] '第四章 (T)' 段7 字1746 | '1003°21*有一门科学，它研究作为存在的存在（toovov）以及由于它自已的本性而属于它的性质。这门科学不' | 页码['1003°'] | 内标题[]
[11] '第四章 （r）1第二章' 段13 字2821 | '有多少种类的实体就有多少哲学门类，所以它们中间一定有一个第一哲学（tivaπptnv）以及一门在它之后的哲学（' | 页码[] | 内标题[]
[12] '第四章 （r）1第三章' 段6 字1192 | 'avavtukov）①，他们在从事一项特殊的研究时，*应当已经知道了它们，5而不要在学习它们时就来进行研究。因' | 页码[] | 内标题[]
[13] '第四章 （r）1第四章' 段41 字6355 | '得是窃题了。但如果别的人提出这个主张，那么就将有反证（cYxog）' | 页码[] | 内标题[]
[14] '第四章 （r）1第五章' 段17 字2961 | '的（uecuixaunavEvπavti）。德谟克利特也这样说，因为他说虚空与充实（tokevovkaitoπ' | 页码[] | 内标题[]
[15] '第四章 （I）1第五章' 段5 字1085 | '时间，一种感觉也不会对一种性质作出不一致的陈述，而是仅仅对那个性质作为偶性所属于的对象才会如此。我的意思是，例' | 页码[] | 内标题[]
[16] '第四章 （r）1第六章' 段11 字3111 | '而是现象对于它所呈现的人和它呈现的时间以及它呈现的方法和方式来说是真的。而如果他们坚持其观点但不是以这种方式，' | 页码['1011°'] | 内标题[]
[17] '第五章 （△)第一章' 段4 字659 | '第五卷（△)第一章第二章第三章第四章第五章第六章第十九章第七章第二十章第八章第二十一章第九章第二十二章第十章第' | 页码['1013°'] | 内标题[]
